route_id,service_id,trip_id,trip_headsign,shape_id,block_id
8,1003,319231:427103:428724,JAMES to Intercity via College,3587,428724
9,995,321042:427104:428711,JUNOT to University,3585,428711
17,995,321198:427105:428715,CURRENT RIVER to Waterfront,3603,428715
1,1003,319567:427106:428694,MAINLINE to City Hall,3609,428694
8,1003,319238:427107:428691,JAMES to Intercity via College,3587,428691
11,1003,319868:427108:428755,JOHN to Windsor St.,3601,428755
1,996,322201:427109:428679,MAINLINE to City Hall,3609,428679
2,1003,319213:427110:428727,CROSSTOWN to Westfort,3597,428727
15,1003,319141:427111:428737,BEVERLY to University,3608,428737
1,995,320864:427112:428750,MAINLINE to City Hall,3609,428750
3J,995,320699:427113:428692,JUMBO GARDENS to Sherwood Dr.,3571,428692
8,1003,319274:427114:428724,JAMES to Intercity via College,3587,428724
3M,996,322311:427115:428744,MEMORIAL to Waterfront,3596,428744
3J,995,320701:427116:428692,JUMBO GARDENS to Airport,3592,428692
9,995,320997:427117:428711,JUNOT to Waterfront,3599,428711
1,1003,319603:427118:428707,MAINLINE to Waterfront,3575,428707
3M,996,322287:427119:428735,MEMORIAL to Northwood,3583,428735
17,1003,320122:427120:428747,CURRENT RIVER to Waterfront,3603,428747
3C,995,320824:427121:428708,COUNTY PARK to Northwood,3576,428708
17,995,321180:427122:428690,CURRENT RIVER to Cowan,3593,428690
1,1004,318785:427123:428709,MAINLINE to Waterfront,3607,428709
8,995,320417:427124:428697,JAMES to Intercity via College,3587,428697
3M,1004,318698:427125:428746,MEMORIAL to County Park,3600,428746
1,1003,319565:427126:428694,MAINLINE to City Hall,3609,428694
8,996,322098:427127:428702,JAMES to College,3538,428702
2,1003,319189:427128:428720,CROSSTOWN to Westfort,3597,428720
3C,995,320839:427129:428681,COUNTY PARK to Castlegreen Dr,3605,428681
1,1004,318777:427130:428709,MAINLINE to Waterfront,3575,428709
3M,1003,319305:427131:428705,MEMORIAL to County Park,3595,428705
